reporter,reported_classification,reported_currency,trade_flow,currency_conversion_factor,trade_system,valuation,partner,r,y
Afghanistan(1977),SITC Rev.1,USD,Import,1,General,CIF,Origin,4,1977
Afghanistan(1977),SITC Rev.1,USD,Export,1,General,FOB,Last Known Destination,4,1977
Algeria(1977),SITC Rev.2,DZD,Import,0.24129,Special,CIF,Origin,12,1977
Algeria(1977),SITC Rev.2,DZD,Export,0.24115,Special,FOB,Consignment,12,1977
Antigua and Barbuda(1977),SITC Rev.2,XCD,Import,0.37037,Special,CIF,Origin,28,1977
Antigua and Barbuda(1977),SITC Rev.2,XCD,Export,0.37037,General,FOB,Last Known Destination,28,1977
Argentina(1977),SITC Rev.1,USD,Import,1,Special,CIF,Origin,32,1977
Argentina(1977),SITC Rev.1,USD,Export,1,Special,FOB,Last Known Destination,32,1977
Australia(1977),SITC Rev.1,AUD,Import,1.10873,General,FOB,Origin,36,1977
Australia(1977),SITC Rev.1,AUD,Export,1.10126,General,FOB,Last Known Destination,36,1977
Austria(1977),SITC Rev.1,ATS,Import,0.6067,Special,CIF,Origin,40,1977
Austria(1977),SITC Rev.1,ATS,Export,0.60623,Special,FOB,Last Known Destination,40,1977
Bahrain(1977),SITC Rev.1,BHD,Import,2.5275,Special,CIF,Origin,48,1977
Bahrain(1977),SITC Rev.1,BHD,Export,2.527495,Special,FOB,Last Known Destination,48,1977
Bangladesh(1977),SITC Rev.2,BDT,Import,0.065149,General,CIF,Consignment,50,1977
Bangladesh(1977),SITC Rev.2,BDT,Export,0.06522,General,FOB,Last Known Destination,50,1977
Barbados(1977),SITC Rev.1,XCD,Import,0.498273,General,CIF,Origin,52,1977
Barbados(1977),SITC Rev.1,XCD,Export,0.49835,General,FOB,Last Known Destination,52,1977
Belgium-Luxembourg(1977),SITC Rev.1,BEF,Import,0.27909,Special,CIF,Origin,58,1977
Belgium-Luxembourg(1977),SITC Rev.1,BEF,Export,0.2792,Special,FOB,Last Known Destination,58,1977
Belize(1977),SITC Rev.1,BZD,Import,0.43638,General,CIF,Origin,84,1977
Belize(1977),SITC Rev.1,BZD,Export,0.436378,General,FOB,Last Known Destination,84,1977
Bermuda(1977),SITC Rev.1,BMD,Import,1,General,CIF,Origin,60,1977
Bermuda(1977),SITC Rev.1,BMD,Export,1,General,FOB,Last Known Destination,60,1977
Bolivia (Plurinational State of)(1977),SITC Rev.2,USD,Import,1,Special,CIF,Origin,68,1977
Bolivia (Plurinational State of)(1977),SITC Rev.2,USD,Export,1,Special,FOB,Last Known Destination,68,1977
Brazil(1977),SITC Rev.1,USD,Import,1,Special,CIF,Purchase,76,1977
