year,country_iso,country_code,reported_classification_imports,reported_classification_exports,reported_currency_imports,reported_currency_exports,trade_flow_imports,trade_flow_exports,currency_conversion_factor_imports,currency_conversion_factor_exports,trade_system_imports,trade_system_exports,valuation_imports,valuation_exports,partner_imports,partner_exports
1962,ago,24,sitc rev.1,sitc rev.1,pte,pte,imports,exports,0.03478,0.03478,special,special,cif,fob,origin,last known destination
1962,mar,504,sitc rev.1,sitc rev.1,mad,mad,imports,exports,0.1976,0.1976,special,special,cif,fob,origin,last known destination
1963,mar,504,sitc rev.1,sitc rev.1,mad,mad,imports,exports,0.1976,0.1976,special,special,cif,fob,origin,last known destination
1963,mmr,104,sitc rev.1,sitc rev.1,mmk,mmk,imports,exports,0.21,0.21,general,general,cif,fob,origin,consignment
1964,brn,96,sitc rev.1,sitc rev.1,bnd,bnd,imports,exports,0.32667,0.326667,special,special,cif,fob,origin,last known destination
1964,mar,504,sitc rev.1,sitc rev.1,mad,mad,imports,exports,0.1976,0.1976,special,special,cif,fob,origin,last known destination
1964,mmr,104,sitc rev.1,sitc rev.1,mmk,mmk,imports,exports,0.21,0.21,general,general,cif,fob,origin,consignment
1965,brn,96,sitc rev.1,sitc rev.1,bnd,bnd,imports,exports,0.32667,0.326667,special,general,cif,fob,origin,last known destination
1965,mlt,470,sitc rev.1,sitc rev.1,mtl,mtl,imports,exports,2.8,2.8,general,general,cif,fob,origin,last known destination
1965,mar,504,sitc rev.1,sitc rev.1,mad,mad,imports,exports,0.197599,0.197599,special,special,cif,fob,origin,last known destination
1965,mmr,104,sitc rev.1,sitc rev.1,mmk,mmk,imports,exports,0.21,0.21,general,general,cif,fob,origin,consignment
1965,sur,740,sitc rev.1,sitc rev.1,srg,srg,imports,exports,0.530264,0.53026,general,general,cif,fob,origin,last known destination
1966,brn,96,sitc rev.1,sitc rev.1,bnd,bnd,imports,exports,0.32667,0.326667,special,general,cif,fob,origin,last known destination
1966,mlt,470,sitc rev.1,sitc rev.1,mtl,mtl,imports,exports,2.8,2.8,general,general,cif,fob,origin,last known destination
1966,mar,504,sitc rev.1,sitc rev.1,mad,mad,imports,exports,0.197599,0.197599,special,special,cif,fob,origin,last known destination
1966,mmr,104,sitc rev.1,sitc rev.1,mmk,mmk,imports,exports,0.21,0.21,general,general,cif,fob,origin,consignment
1967,afg,4,sitc rev.1,sitc rev.1,afa,afa,imports,exports,0.170242,0.170242,general,general,cif,fob,origin,last known destination
1967,arg,32,sitc rev.1,sitc rev.1,usd,usd,imports,exports,1,1,special,special,cif,fob,origin,last known destination
1967,aus,36,sitc rev.1,sitc rev.1,aud,aud,imports,exports,1.12,1.12,general,general,fob,fob,origin,last known destination
1967,aut,40,sitc rev.1,sitc rev.1,ats,ats,imports,exports,0.384615,0.384615,special,special,cif,fob,origin,last known destination
1967,brb,52,sitc rev.1,sitc rev.1,xcd,xcd,imports,exports,0.5,0.5,general,general,cif,fob,origin,last known destination
1967,bel,58,sitc rev.1,sitc rev.1,bef,bef,imports,exports,0.2,0.2,special,special,cif,fob,origin,last known destination
1967,ben,204,sitc rev.1,sitc rev.1,xof,xof,imports,exports,0.4051,0.4051,special,special,cif,fob,origin,last known destination
1967,bol,68,sitc rev.1,sitc rev.1,usd,usd,imports,exports,1,1,special,special,cif,fob,origin,last known destination
1967,bra,76,sitc rev.1,sitc rev.1,usd,usd,imports,exports,1,1,special,general,cif,fob,purchase,last known destination
